"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"Let $R$ be the rectangle in the Cartesian plane with vertices at $(0,0),(2,0),(2,1)$, and $(0,1)$. $R$ can be divided into two unit squares, as shown; the resulting figure has seven edges.
![](https://cdn.mathpix.com/cropped/2025_11_24_e60df52530b20246c757g-2.jpg?height=169&width=313&top_left_y=1311&top_left_x=948)

Compute the number of ways to choose one or more of the seven edges such that the resulting figure is traceable without lifting a pencil. (Rotations and reflections are considered distinct.)","61","We have two cases, depending on whether we choose the middle edge. If so, then either all the remaining edges are either to the left of or to the right of this edge, or there are edges on both sides, or neither; in the first two cases there are 6 ways each, in the third there are $16+1=17$ ways, and in the last there is 1 way. Meanwhile, if we do not choose the middle edge, then we have to choose a beginning and endpoint, plus the case where we have a loop, for a total of $6 \cdot 5+1=31$ cases. This gives a total of","HMMT February 2016 Guts #12","counting","numerical","True","4","61","3.0"
"A right triangle has side lengths $a, b$, and $\sqrt{2016}$ in some order, where $a$ and $b$ are positive integers. Determine the smallest possible perimeter of the triangle.","48+√2016","There are no integer solutions to $a^{2}+b^{2}=2016$ due to the presence of the prime 7 on the right-hand side (by Fermat's Christmas Theorem). Assuming $a<b$, the minimal solution $(a, b)=(3,45)$ which gives the answe","HMMT February 2016 Guts #13","geometry","numerical","True","4","64","3.0"
"e a triangle with $A B=13, B C=14, C A=15$. Let $O$ be the circumcenter of $A B C$. Find the distance between the circumcenters of triangles $A O B$ and $A O C$.
11. [7] Define $\phi^{!}(n)$ as the product of all positive integers less than or equal to $n$ and relatively prime to $n$. Compute the remainder when

$$
\sum_{\substack{2 \leq n \leq 50 \\ \operatorname{gcd}(n, 50)=1}} \phi^{!}(n)
$$
is divided by 50 .
12. $[\mathbf{7}]$ Let $R$ be the rectangle in the Cartesian plane with vertices at $(0,0),(2,0),(2,1)$, and $(0,1)$. $R$ can be divided into two unit squares, as shown; the resulting figure has seven edges.
![](https://cdn.mathpix.com/cropped/2025_11_24_e60df52530b20246c757g-2.jpg?height=169&width=313&top_left_y=1311&top_left_x=948)

Compute the number of ways to choose one or more of the seven edges such that the resulting figure is traceable without lifting a pencil. (Rotations and reflections are considered distinct.)

## HMMT February 2016, February 20, 2016 - GUTS ROUND

Organization $\_\_\_\_$ Team $\_\_\_\_$ Team ID\# $\_\_\_\_$
13. [9] A right triangle has side lengths $a, b$, and $\sqrt{2016}$ in some order, where $a$ and $b$ are positive integers. Determine the smallest possible perimeter of the triangle.
14. [9] Let $A B C$ be a triangle such that $A B=13, B C=14, C A=15$ and let $E, F$ be the feet of the altitudes from $B$ and $C$, respectively. Let the circumcircle of triangle $A E F$ be $\omega$. We draw three lines, tangent to the circumcircle of triangle $A E F$ at $A, E$, and $F$. Compute the area of the triangle these three lines determine.","462/5","Note that $A E F \sim A B C$. Let the vertices of the triangle whose area we wish to compute be $P, Q, R$, opposite $A, E, F$ respectively. Since $H, O$ are isogonal conjugates, line $A H$ passes through the circumcenter of $A E F$, so $Q R \| B C$.
Let $M$ be the midpoint of $B C$. We claim that $M=P$. This can be seen by angle chasing at $E, F$ to find that $\angle P F B=\angle A B C, \angle P E C=\angle A C B$, and noting that $M$ is the circumcenter of $B F E C$. So, the height from $P$ to $Q R$ is the height from $A$ to $B C$, and thus if $K$ is the area of $A B C$, the area we want is $\frac{Q R}{B C} K$.
Heron's formula gives $K=84$, and similar triangles $Q A F, M B F$ and $R A E, M C E$ give $Q A=\frac{B C}{2} \frac{\tan B}{\tan A}$, $R A=\frac{B C}{2} \frac{\tan C}{\tan A}$, so that $\frac{Q R}{B C}=\frac{\tan B+\tan C}{2 \tan A}=\frac{\tan B \tan C-1}{2}=\frac{11}{10}$,
since the height from $A$ to $B C$ is 12 . So our answer is $\f","HMMT February 2016 Guts #14","geometry","numerical","True","4","467","3.5"
"Compute $\tan \left(\frac{\pi}{7}\right) \tan \left(\frac{2 \pi}{7}\right) \tan \left(\frac{3 \pi}{7}\right)$.","√7","Consider the polynomial $P(z)=z^{7}-1$. Let $z=e^{i x}=\cos x+i \sin x$. Then

$$
\begin{aligned}
z^{7}-1= & \left(\cos ^{7} x-\binom{7}{2} \cos ^{5} x \sin ^{2} x+\binom{7}{4} \cos ^{3} x \sin ^{4} x-\binom{7}{6} \cos x \sin ^{6} x-1\right) \\
& +i\left(-\sin ^{7} x+\binom{7}{2} \sin ^{5} x \cos ^{2} x-\binom{7}{4} \sin ^{3} x \cos ^{4} x+\binom{7}{6} \sin x \cos 6 x\right)
\end{aligned}
$$

Consider the real part of this equation. We may simplify it to $64 \cos ^{7} x-\ldots-1$, where the middle terms are irrelevant. The roots of $P$ are $x=\frac{2 \pi}{7}, \frac{4 \pi}{7}, \ldots$, so $\prod_{k=1}^{7} \cos \left(\frac{2 \pi k}{7}\right)=\frac{1}{64}$. But

$$
\prod_{k=1}^{7} \cos \left(\frac{2 \pi k}{7}\right)=\left(\prod_{k=1}^{3} \cos \left(\frac{k \pi}{7}\right)\right)^{2}
$$
so $\prod_{k=1}^{3} \cos \left(\frac{k \pi}{7}\right)=\frac{1}{8}$.
Now consider the imaginary part of this equation. We may simplify it to $-64 \sin ^{11} x+\ldots+7 \sin x$, where again the middle terms are irrelevant. We can factor out $\sin x$ to get $-64 \sin ^{10} x+\ldots+7$, and this polynomial has roots $x=\frac{2 \pi}{7}, \ldots, \frac{12 \pi}{7}$ (but not 0 ). Hence $\prod_{k=1}^{6} \sin \left(\frac{2 \pi k}{7}\right)=-\frac{7}{64}$. But, like before, we have
$$
\prod_{k=1}^{6} \sin \left(\frac{2 \pi k}{7}\right)=-\left(\prod_{k=1}^{3} \sin \left(\frac{2 \pi k}{7}\right)\right)^{2}
$$

hence $\prod_{k=1}^{3} \sin \left(\frac{k \pi}{7}\right)=\frac{\sqrt{7}}{8}$. As a result, our final answer is $","HMMT February 2016 Guts #15","algebra","numerical","True","5","7","3.0"
"Determine the number of integers $2 \leq n \leq 2016$ such that $n^{n}-1$ is divisible by $2,3,5,7$.","9","Only $n \equiv 1(\bmod 210)$ work. Proof: we require $\operatorname{gcd}(n, 210)=1$. Note that $\forall p \leq 7$ the order of $n (\bmod p)$ divides $p-1$, hence is relatively prime to any $p \leq 7$. So $n^{n} \equiv 1(\bmod p) \Longleftrightarrow n \equiv 1(\bmod p)$ for each of these $p$","HMMT February 2016 Guts #16","number_theory","numerical","True","4","9","3.0"
"Compute the sum of all integers $1 \leq a \leq 10$ with the following property: there exist integers $p$ and $q$ such that $p, q, p^{2}+a$ and $q^{2}+a$ are all distinct prime numbers.","20","Odd $a$ fail for parity reasons and $a \equiv 2(\bmod 3)$ fail for $\bmod 3$ reasons. This leaves $a \in\{4,6,10\}$. It is easy to construct $p$ and $q$ for each of these, take $(p, q)=(3,5),(5,11),(3,7)$, respectively.","HMMT February 2016 Guts #17","number_theory","numerical","True","4","20","4.0"
"Alice and Bob play a game on a circle with 8 marked points. Alice places an apple beneath one of the points, then picks five of the other seven points and reveals that none of them are hiding the apple. Bob then drops a bomb on any of the points, and destroys the apple if he drops the bomb either on the point containing the apple or on an adjacent point. Bob wins if he destroys the apple, and Alice wins if he fails. If both players play optimally, what is the probability that Bob destroys the apple?","1/2","Let the points be $0, \ldots, 7(\bmod 8)$, and view Alice's reveal as revealing the three possible locations of the apple. If Alice always picks $0,2,4$ and puts the apple randomly at 0 or 4 , by symmetry Bob cannot achieve more than $\frac{1}{2}$. Here's a proof that $\frac{1}{2}$ is always possible.
Among the three revealed indices $a, b, c$, positioned on a circle, two must (in the direction in which they're adjacent) have distance at least 3 , so without loss of generality the three are $0, b, c$ where $1 \leq b<c \leq 5$. Modulo reflection and rotation, the cases are: ( $0,1,2$ ): Bob places at 1 and wins. $(0,1,3)$ : Bob places at 1 half the time and 3 half the time, so wherever the apple is Bob wins with probability $\frac{1}{2}$. ( $0,1,4$ ): Bob places at 1 or 4 , same as above. ( $0,2,4$ ): Bob places at 1 or 3 , same as above. ( $0,2,5$ ): Bob places at 1 or 5 , same as above.
These cover all cases, so we're done.","HMMT February 2016 Guts #18","misc","numerical","True","4","3","4.5"
"im _{n \rightarrow \infty} \sum_{i=0}^{2016}(-1)^{i} \cdot \frac{\binom{n}{i}\binom{n}{i+2}}{\binom{n}{i+1}^{2}}
$$

Find the largest integer less than or equal to $\frac{1}{A}$.","","Note that $A S C O$ is cyclic with diameter $S O$, so the circumcenter of $A O C$ is the midpoint of $O S$, and similarly for the other side. So the length we want is $\frac{1}{2} S T$. The circumradius $R$ of $A B C$ can be computed by Heron's formula and $K=\frac{a b c}{4 R}$, giving $R=\frac{65}{8}$. A few applications of the Pythagorean theorem and similar triangles gives $A T=\frac{65}{6}, A S=\frac{39}{2}$, so the answer is $\frac{91}{6}$.
11. [7] Define $\phi^{!}(n)$ as the product of all positive integers less than or equal to $n$ and relatively prime to $n$. Compute the remainder when
$$
\sum_{\substack{2 \leq n \leq 50 \\ \operatorname{gcd}(n, 50)=1}} \phi^{!}(n)
$$

is divided by 50 .
Proposed by: Evan Chen
Answer: 12
First, $\phi^{!}(n)$ is even for all odd $n$, so it vanishes modulo 2 .
To compute the remainder modulo 25, we first evaluate $\phi^{!}(3)+\phi^{!}(7)+\phi^{!}(9) \equiv 2+5 \cdot 4+5 \cdot 3 \equiv 12 (\bmod 25)$. Now, for $n \geq 11$ the contribution modulo 25 vanishes as long as $5 \nmid n$.
We conclude the answer is 12 .
12. $[\mathbf{7}]$ Let $R$ be the rectangle in the Cartesian plane with vertices at $(0,0),(2,0),(2,1)$, and $(0,1)$. $R$ can be divided into two unit squares, as shown; the resulting figure has seven edges.
![](https://cdn.mathpix.com/cropped/2025_11_24_c72ba5df943b63ea7972g-03.jpg?height=172&width=316&top_left_y=2173&top_left_x=945)

Compute the number of ways to choose one or more of the seven edges such that the resulting figure is traceable without lifting a pencil. (Rotations and reflections are considered distinct.)
Proposed by: Joy Zheng
Answer: 61

We have two cases, depending on whether we choose the middle edge. If so, then either all the remaining edges are either to the left of or to the right of this edge, or there are edges on both sides, or neither; in the first two cases there are 6 ways each, in the third there are $16+1=17$ ways, and in the last there is 1 way. Meanwhile, if we do not choose the middle edge, then we have to choose a beginning and endpoint, plus the case where we have a loop, for a total of $6 \cdot 5+1=31$ cases. This gives a total of $6+6+17+1+31=61$ possible cases.
13. [9] A right triangle has side lengths $a, b$, and $\sqrt{2016}$ in some order, where $a$ and $b$ are positive integers. Determine the smallest possible perimeter of the triangle.
Proposed by: Evan Chen
Answer: $48+\sqrt{2016}$
There are no integer solutions to $a^{2}+b^{2}=2016$ due to the presence of the prime 7 on the right-hand side (by Fermat's Christmas Theorem). Assuming $a<b$, the minimal solution $(a, b)=(3,45)$ which gives the answer above.
14. [9] Let $A B C$ be a triangle such that $A B=13, B C=14, C A=15$ and let $E, F$ be the feet of the altitudes from $B$ and $C$, respectively. Let the circumcircle of triangle $A E F$ be $\omega$. We draw three lines, tangent to the circumcircle of triangle $A E F$ at $A, E$, and $F$. Compute the area of the triangle these three lines determine.
Proposed by: Christopher Shao
Answer: $\frac{462}{5}$
Note that $A E F \sim A B C$. Let the vertices of the triangle whose area we wish to compute be $P, Q, R$, opposite $A, E, F$ respectively. Since $H, O$ are isogonal conjugates, line $A H$ passes through the circumcenter of $A E F$, so $Q R \| B C$.
Let $M$ be the midpoint of $B C$. We claim that $M=P$. This can be seen by angle chasing at $E, F$ to find that $\angle P F B=\angle A B C, \angle P E C=\angle A C B$, and noting that $M$ is the circumcenter of $B F E C$. So, the height from $P$ to $Q R$ is the height from $A$ to $B C$, and thus if $K$ is the area of $A B C$, the area we want is $\frac{Q R}{B C} K$.
Heron's formula gives $K=84$, and similar triangles $Q A F, M B F$ and $R A E, M C E$ give $Q A=\frac{B C}{2} \frac{\tan B}{\tan A}$, $R A=\frac{B C}{2} \frac{\tan C}{\tan A}$, so that $\frac{Q R}{B C}=\frac{\tan B+\tan C}{2 \tan A}=\frac{\tan B \tan C-1}{2}=\frac{11}{10}$,
since the height from $A$ to $B C$ is 12 . So our answer is $\frac{462}{5}$.
15. [9] Compute $\tan \left(\frac{\pi}{7}\right) \tan \left(\frac{2 \pi}{7}\right) \tan \left(\frac{3 \pi}{7}\right)$.

Proposed by: Alexander Katz
Answer: $\sqrt{7}$
Consider the polynomial $P(z)=z^{7}-1$. Let $z=e^{i x}=\cos x+i \sin x$. Then

$$
\begin{aligned}
z^{7}-1= & \left(\cos ^{7} x-\binom{7}{2} \cos ^{5} x \sin ^{2} x+\binom{7}{4} \cos ^{3} x \sin ^{4} x-\binom{7}{6} \cos x \sin ^{6} x-1\right) \\
& +i\left(-\sin ^{7} x+\binom{7}{2} \sin ^{5} x \cos ^{2} x-\binom{7}{4} \sin ^{3} x \cos ^{4} x+\binom{7}{6} \sin x \cos 6 x\right)
\end{aligned}
$$

Consider the real part of this equation. We may simplify it to $64 \cos ^{7} x-\ldots-1$, where the middle terms are irrelevant. The roots of $P$ are $x=\frac{2 \pi}{7}, \frac{4 \pi}{7}, \ldots$, so $\prod_{k=1}^{7} \cos \left(\frac{2 \pi k}{7}\right)=\frac{1}{64}$. But

$$
\prod_{k=1}^{7} \cos \left(\frac{2 \pi k}{7}\right)=\left(\prod_{k=1}^{3} \cos \left(\frac{k \pi}{7}\right)\right)^{2}
$$
so $\prod_{k=1}^{3} \cos \left(\frac{k \pi}{7}\right)=\frac{1}{8}$.
Now consider the imaginary part of this equation. We may simplify it to $-64 \sin ^{11} x+\ldots+7 \sin x$, where again the middle terms are irrelevant. We can factor out $\sin x$ to get $-64 \sin ^{10} x+\ldots+7$, and this polynomial has roots $x=\frac{2 \pi}{7}, \ldots, \frac{12 \pi}{7}$ (but not 0 ). Hence $\prod_{k=1}^{6} \sin \left(\frac{2 \pi k}{7}\right)=-\frac{7}{64}$. But, like before, we have
$$
\prod_{k=1}^{6} \sin \left(\frac{2 \pi k}{7}\right)=-\left(\prod_{k=1}^{3} \sin \left(\frac{2 \pi k}{7}\right)\right)^{2}
$$

hence $\prod_{k=1}^{3} \sin \left(\frac{k \pi}{7}\right)=\frac{\sqrt{7}}{8}$. As a result, our final answer is $\frac{\frac{\sqrt{7}}{8}}{\frac{1}{8}}=\sqrt{7}$.
16. [9] Determine the number of integers $2 \leq n \leq 2016$ such that $n^{n}-1$ is divisible by $2,3,5,7$. Proposed by: Evan Chen
Answer: 9
Only $n \equiv 1(\bmod 210)$ work. Proof: we require $\operatorname{gcd}(n, 210)=1$. Note that $\forall p \leq 7$ the order of $n (\bmod p)$ divides $p-1$, hence is relatively prime to any $p \leq 7$. So $n^{n} \equiv 1(\bmod p) \Longleftrightarrow n \equiv 1(\bmod p)$ for each of these $p$.
17. [11] Compute the sum of all integers $1 \leq a \leq 10$ with the following property: there exist integers $p$ and $q$ such that $p, q, p^{2}+a$ and $q^{2}+a$ are all distinct prime numbers.
Proposed by: Evan Chen
Answer: 20
Odd $a$ fail for parity reasons and $a \equiv 2(\bmod 3)$ fail for $\bmod 3$ reasons. This leaves $a \in\{4,6,10\}$. It is easy to construct $p$ and $q$ for each of these, take $(p, q)=(3,5),(5,11),(3,7)$, respectively.
18. [11] Alice and Bob play a game on a circle with 8 marked points. Alice places an apple beneath one of the points, then picks five of the other seven points and reveals that none of them are hiding the apple. Bob then drops a bomb on any of the points, and destroys the apple if he drops the bomb either on the point containing the apple or on an adjacent point. Bob wins if he destroys the apple, and Alice wins if he fails. If both players play optimally, what is the probability that Bob destroys the apple?
Proposed by:
Answer: $\frac{1}{2}$
Let the points be $0, \ldots, 7(\bmod 8)$, and view Alice's reveal as revealing the three possible locations of the apple. If Alice always picks $0,2,4$ and puts the apple randomly at 0 or 4 , by symmetry Bob cannot achieve more than $\frac{1}{2}$. Here's a proof that $\frac{1}{2}$ is always possible.
Among the three revealed indices $a, b, c$, positioned on a circle, two must (in the direction in which they're adjacent) have distance at least 3 , so without loss of generality the three are $0, b, c$ where $1 \leq b<c \leq 5$. Modulo reflection and rotation, the cases are: ( $0,1,2$ ): Bob places at 1 and wins. $(0,1,3)$ : Bob places at 1 half the time and 3 half the time, so wherever the apple is Bob wins with probability $\frac{1}{2}$. ( $0,1,4$ ): Bob places at 1 or 4 , same as above. ( $0,2,4$ ): Bob places at 1 or 3 , same as above. ( $0,2,5$ ): Bob places at 1 or 5 , same as above.
These cover all cases, so we're done.
19. [11] Let

$$
A=\lim _{n \rightarrow \infty} \sum_{i=0}^{2016}(-1)^{i} \cdot \frac{\binom{n}{i}\binom{n}{i+2}}{\binom{n}{i+1}^{2}}
$$

Find the largest integer less than or equal to $\frac{1}{A}$.
The following decimal approximation might be useful: $0.6931<\ln (2)<0.6932$, where $\ln$ denotes the natural logarithm function.
Proposed by: Pakawut Jiradilok

Answer:

Note

$$
\sum_{i=0}^{2016}(-1)^{i} \cdot \frac{\binom{n}{i}\binom{n}{i+2}}{\binom{n}{i+1}^{2}}=\sum_{i=0}^{2016}(-1)^{i} \cdot \frac{(i+1)(n-i-1)}{(i+2)(n-i)},
$$

So

$$
\lim _{n \rightarrow \infty} \sum_{i=0}^{2016}(-1)^{i} \cdot \frac{\binom{n}{i}\binom{n}{i+2}}{\binom{n}{i+1}^{2}}=\sum_{i=0}^{2016}(-1)^{i} \cdot \frac{(i+1)}{(i+2)}=1-\sum_{i=2}^{2016} \frac{(-1)^{i}}{i} \approx \ln (2) .
$$

Then $\frac{1}{A} \ap","HMMT February 2016 Guts #19","algebra","numerical","False","2","","5.0"
"e a triangle with $A B=13, B C=14, C A=15$. Let $O$ be the circumcenter of $A B C$. Find the distance between the circumcenters of triangles $A O B$ and $A O C$.","1170√37/1379","Observe that $B G$ is the $B$-symmedian, and thus $\frac{A G}{G C}=\frac{c^{2}}{a^{2}}$. Stewart's theorem gives us

$$
B G=\sqrt{\frac{2 a^{2} c^{2} b}{b\left(a^{2}+c^{2}\right)}-\frac{a^{2} b^{2} c^{2}}{a^{2}+c^{2}}}=\frac{a c}{a^{2}+c^{2}} \sqrt{2\left(a^{2}+c^{2}\right)-b^{2}}=\frac{390 \sqrt{37}}{197} .
$$

Then by similar triangles,

$$
Z W=H Y \frac{Z A}{H A}=B G \frac{Y C}{G C} \frac{Z A}{H A}=B G \frac{1}{2} \frac{6}{7}=\frac{1170 \sqrt{37}}{1379}
$$
where $\frac{Z A}{H A}","HMMT February 2016 Guts #20","geometry","numerical","False","3","","5.5"
"Tim starts with a number $n$, then repeatedly flips a fair coin. If it lands heads he subtracts 1 from his number and if it lands tails he subtracts 2 . Let $E_{n}$ be the expected number of flips Tim does before his number is zero or negative. Find the pair ( $a, b$ ) such that

$$
\lim _{n \rightarrow \infty}\left(E_{n}-a n-b\right)=0
$$","(2/3, 2/9)","We have the recurrence $E_{n}=\frac{1}{2}\left(E_{n-1}+1\right)+\frac{1}{2}\left(E_{n-2}+1\right)$, or $E_{n}=1+\frac{1}{2}\left(E_{n-1}+E_{n-2}\right)$, for $n \geq 2$.
Let $F_{n}=E_{n}-\frac{2}{3} n$. By directly plugging this into the recurrence for $E_{n}$, we get the recurrence $F_{n}= \frac{1}{2}\left(F_{n-1}+F_{n-1}\right)$. The roots of the characteristic polynomial of this recurrence are 1 and $-\frac{1}{2}$, so $F_{n}= A+B\left(-\frac{1}{2}\right)^{n}$ for some $A$ and $B$ depending on the initial conditions. But clearly we have $E_{0}=0$ and $E_{1}=1$ so $F_{0}=0$ and $F_{1}=\frac{1}{3}$ so $A=\frac{2}{9}$ and $B=-\frac{2}{9}$.
Hence, $E_{n}=\frac{2}{3} n+\frac{2}{9}-\frac{2}{9}\left(-\frac{1}{2}\right)^{n}$, so $\lim _{n \rightarrow \infty}\left(E_{n}-\frac{2}{3} n-\frac{2}{9}\right)=0$. Hence $\left(\frac{2}{","HMMT February 2016 Guts #21","misc","numerical","True","2","47","6.0"
"On the Cartesian plane $\mathbb{R}^{2}$, a circle is said to be nice if its center is at the origin ( 0,0 ) and it passes through at least one lattice point (i.e. a point with integer coordinates). Define the points $A=(20,15)$ and $B=(20,16)$. How many nice circles intersect the open segment $A B$","10","The square of the radius of a nice circle is the sum of the square of two integers.
The nice circle of radius $r$ intersects (the open segment) $\overline{A B}$ if and only if a point on $\overline{A B}$ is a distance $r$ from the origin. $\overline{A B}$ consists of the points ( $20, t$ ) where $t$ ranges over ( 15,16 ). The distance from the origin is $\sqrt{20^{2}+t^{2}}=\sqrt{400+t^{2}}$. As $t$ ranges over $(15,16), \sqrt{400+t^{2}}$ ranges over $(\sqrt{625}, \sqrt{656})$, so the nice circle of radius $r$ intersects $\overline{A B}$ if and only if $625<r^{2}<656$.
The possible values of $r^{2}$ are those in this range that are the sum of two perfect squares, and each such value corresponds to a unique nice circle. By Fermat's Christmas theorem, an integer is the sum of two squares if an only if in its prime factorization, each prime that is $3 \bmod 4$ appears with an even exponent (possibly 0 .) In addition, since squares are 0,1 , or $4 \bmod 8$, we can quickly eliminate integers that are 3,6 , or $7 \bmod 8$.
Now I will list all the integers that aren't 3,6 , or $7 \bmod 8$ in the range and either supply the bad prime factor or write ""nice"" with the prime factorization.
626: nice $(2 \cdot 313)$
628: nice $\left(2^{2} \cdot 157\right)$
629: nice $(17 \cdot 37)$
632: 79
633: 3
634: nice $(2 \cdot 317)$
636: 3
637: nice $\left(7^{2} \cdot 13\right)$
640: nice $\left(2^{7} \cdot 5\right)$
641: nice (641)
642: 3
644: 7
645: 3
648: nice $\left(2^{3} \cdot 3^{4}\right)$
649: 11
650: nice $\left(2 \cdot 5^{2} \cdot 13\right)$
652: 163
653: nice (653). There are 10 nice cir","HMMT February 2016 Guts #22","geometry","numerical","True","4","10","5.0"
"Let $t=2016$ and $p=\ln 2$. Evaluate in closed form the sum
$$
\sum_{k=1}^{\infty}\left(1-\sum_{n=0}^{k-1} \frac{e^{-t} t^{n}}{n!}\right)(1-p)^{k-1} p
$$","1-(1/2)^2016","Let $q=1-p$. Then

$$
\begin{aligned}
\sum_{k=1}^{\infty}\left(1-\sum_{n=0}^{k-1} \frac{e^{-t} t^{n}}{n!}\right) q^{k-1} p & =\sum_{k=1}^{\infty} q^{k-1} p-\sum_{k=1}^{\infty} \sum_{n=0}^{k-1} \frac{e^{-t} t^{n}}{n!} q^{k-1} p \\
& =1-\sum_{k=1}^{\infty} \sum_{n=0}^{k-1} \frac{e^{-t} t^{n}}{n!} q^{k-1} p \\
& =1-\sum_{n=0}^{\infty} \sum_{k=n+1}^{\infty} \frac{e^{-t} t^{n}}{n!} q^{k-1} p \\
& =1-\sum_{n=0}^{\infty} \frac{e^{-t} t^{n}}{n!} q^{n} \\
& =1-\sum_{n=0}^{\infty} \frac{e^{-t}(q t)^{n}}{n!}=1-e^{-t} e^{q t}=1-e^{-p t}
\end{aligned}
$$

Thus the answer is $","HMMT February 2016 Guts #23","algebra","numerical","True","2","19","5.5"
"Let $\Delta A_{1} B_{1} C$ be a triangle with $\angle A_{1} B_{1} C=90^{\circ}$ and $\frac{C A_{1}}{C B_{1}}=\sqrt{5}+2$. For any $i \geq 2$, define $A_{i}$ to be the point on the line $A_{1} C$ such that $A_{i} B_{i-1} \perp A_{1} C$ and define $B_{i}$ to be the point on the line $B_{1} C$ such that $A_{i} B_{i} \perp B_{1} C$. Let $\Gamma_{1}$ be the incircle of $\Delta A_{1} B_{1} C$ and for $i \geq 2, \Gamma_{i}$ be the circle tangent to $\Gamma_{i-1}, A_{1} C, B_{1} C$ which is smaller than $\Gamma_{i-1}$.
How many integers $k$ are there such that the line $A_{1} B_{2016}$ intersects $\Gamma_{k}$ ?","4030","We claim that $\Gamma_{2}$ is the incircle of $\triangle B_{1} A_{2} C$. This is because $\triangle B_{1} A_{2} C$ is similar to $A_{1} B_{1} C$ with dilation factor $\sqrt{5}-2$, and by simple trigonometry, one can prove that $\Gamma_{2}$ is similar to $\Gamma_{1}$ with the same dilation factor. By similarities, we can see that for every $k$, the incircle of $\triangle A_{k} B_{k} C$ is $\Gamma_{2 k-1}$, and the incircle of $\triangle B_{k} A_{k+1} C$ is $\Gamma_{2 k}$. Therefore, $A_{1} B_{2016}$ intersects all $\Gamma_{1}, \ldots, \Gamma_{4030}$ but not $\Gamma_{k}$ f","HMMT February 2016 Guts #24","geometry","numerical","True","4","30","6.0"
"A particular coin can land on heads (H), on tails (T), or in the middle (M), each with probability $\frac{1}{3}$. Find the expected number of flips necessary to observe the contiguous sequence HMMTHMMT...HMMT, where the sequence HMMT is repeated 2016 times.","(3^8068-81)/80","Let $E_{0}$ be the expected number of flips needed. Let $E_{1}$ be the expected number more of flips needed if the first flip landed on H . Let $E_{2}$ be the expected number more if the first two landed on HM. In general, let $E_{k}$ be the expected number more of flips needed if the first $k$ flips landed on the first $k$ values of the sequence HMMTHMMT...HMMT.
We have

$$
E_{i}= \begin{cases}1+\frac{1}{3} E_{i+1}+\frac{1}{3} E_{1}+\frac{1}{3} E_{0} & i \not \equiv 0(\bmod 4) \\ 1+\frac{1}{3} E_{i+1}+\frac{2}{3} E_{0} & i \equiv 0(\bmod 4)\end{cases}
$$

Using this relation for $i=0$ gives us $E_{1}=E_{0}-3$. Let $F_{i}=\frac{1}{3^{i}} E_{i}$. By simple algebraic manipulations we have

$$
F_{i+1}-F_{i}= \begin{cases}-\frac{2}{3^{i+1}} \cdot E_{0} & i \not \equiv 0(\bmod 4) \\ -\frac{1}{3^{i}}-\frac{2}{3^{i+1}} \cdot E_{0} & i \equiv 0(\bmod 4)\end{cases}
$$

We clearly have $F_{2016 \cdot 4}=0$ and $F_{0}=E_{0}$. So adding up the above relations for $i=0$ to $i=2016 \cdot 4-1$ gives

$$
\begin{aligned}
-E_{0} & =-2 E_{0} \sum_{i=1}^{2016 \cdot 4} \frac{1}{3^{i}}-\sum_{k=0}^{2015} \frac{1}{3^{4 k}} \\
& =E_{0}\left(\frac{1}{3^{2016 \cdot 4}}-1\right)-\frac{1-\frac{1}{3^{2016 \cdot 4}}}{\frac{80}{81}}
\end{aligned}
$$

so $E_{0}=\frac{3^{8","HMMT February 2016 Guts #25","counting","numerical","False","1","","5.5"
"For positive integers $a, b, a \uparrow \uparrow b$ is defined as follows: $a \uparrow \uparrow 1=a$, and $","283","We see that the smallest such $n$ must be a prime power, because if two numbers are distinct $\bmod n$, they must be distinct $\bmod$ at least one of the prime powers that divide $n$. For $k \geq 2$, if $a \uparrow \uparrow k$ and $a \uparrow \uparrow(k+1)$ are distinct $\bmod p^{r}$, then $a \uparrow \uparrow(k-1)$ and $a \uparrow \uparrow k$ must be distinct $\bmod \phi\left(p^{r}\right)$. In fact they need to be distinct $\bmod \frac{\phi\left(p^{r}\right)}{2}$ if $p=2$ and $r \geq 3$ because then there are no primitive roots $\bmod p^{r}$.
Using this, for $1 \leq k \leq 5$ we find the smallest prime $p$ such that there exists $a$ such that $a \uparrow \uparrow k$ and $a \uparrow \uparrow(k+1)$ are distinct $\bmod p$. The list is: $3,5,11,23,47$. We can easily check that the next largest prime for $k=5$ is 139 , and also any prime power other than 121 for which $a \uparrow \uparrow 5$ and $a \uparrow \uparrow 6$ are distinct is also larger than 139 .
Now if $a \uparrow \uparrow 6$ and $a \uparrow \uparrow 7$ are distinct $\bmod p$, then $p-1$ must be a multiple of 47 or something that is either 121 or at least 139 . It is easy to see that 283 is the smallest prime that satisfies this.
If $n$ is a prime power less than 283 such that $a \uparrow \uparrow 6$ and $a \uparrow \uparrow 7$ are distinct $\bmod n$, then the prime can be at most 13 and clearly this doesn't work because $\phi\left(p^{r}\right)=p^{r-1}(p-1)$.
To show that 283 works, choose $a$ so that $a$ is a primitive root $\bmod 283,47,23,11,5$ and 3 . This is possible by the Chinese Remainder theorem, and it is easy to see","HMMT February 2016 Guts #26","number_theory","numerical","True","4","283","6.0"
